codigo,disciplina,turma,horario,local,docente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,ementa
02,FGA0105 - TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,ARTUR ELIAS DE MORAIS BERTOLDI (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,40,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0106 - TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0106 - TÓPICOS ESPECIAIS 3 EM ENGENHARIA AEROESPACIAL,ARTUR ELIAS DE MORAIS BERTOLDI (60h),"35T6  35N1
											


		

											Terça-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,25,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0107 - LABORATÓRIO DE ONDULATÓRIA E FÍSICA TÉRMICA PARA A ENGENHARIA,EBERTH DE ALMEIDA CORREA (30h),"3M34
											


		

											Terça-feira 10:00 às 11:50",,24,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0108 - MATEMÁTICA DISCRETA 2,LINDOMAR BOMFIM DE CARVALHO DE JESUS (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0108 - MATEMÁTICA DISCRETA 2,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0109 - FUNDAMENTOS DE SISTEMAS EMBARCADOS,RENATO CORAL SAMPAIO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0119 - TEORIA DE ELETROMAGNETISMO,ANDRE LUIZ ALMEIDA PENNA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0119 - TEORIA DE ELETROMAGNETISMO,ANDRE LUIZ ALMEIDA PENNA (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0120 - PRÁTICA DE ELETROMAGNETISMO,GERARDO ANTONIO IDROBO PIZO (30h),"6T23
											


		

											Sexta-feira 14:00 às 15:50",,50,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0120 - PRÁTICA DE ELETROMAGNETISMO,GERARDO ANTONIO IDROBO PIZO (30h),"3T45
											


		

											Terça-feira 16:00 às 17:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0120 - PRÁTICA DE ELETROMAGNETISMO,GERARDO ANTONIO IDROBO PIZO (30h),"6M5  6T1
											


		

											Sexta-feira 12:00 às 13:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0121 - TÓPICOS ESPECIAIS 4 EM ENGENHARIA AEROESPACIAL,"RAFAEL CASTILHO FARIA MENDES (30h)
										
										
										THIAGO FELIPPE KURUDEZ CORDEIRO (30h)","46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
