codigo,disciplina,turma,horario,local,docente
01,2025.1,FABIANO ARAUJO SOARES (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,45
01,2025.1,EVANDRO LEONARDO SILVA TEIXEIRA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,16
01,2025.1,CARLA TATIANA MOTA ANFLOR (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,45
01,2025.1,MAURA ANGELICA MILFONT SHZU (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,40
01,2025.1,SUZANA MOREIRA AVILA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,30
01,2025.1,HENRIQUE GOMES DE MOURA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45
01,2025.1,ALESSANDRO BORGES DE SOUSA OLIVEIRA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,20
01,2025.1,MARIA DEL PILAR HIDALGO FALLA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,15
01,2025.1,ANDRE LUIZ PERON MARTINS LANNA (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,80
01,2025.1,FERNANDO WILLIAM CRUZ (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,80
02,2025.1,FERNANDO WILLIAM CRUZ (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,80
